Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Christian DE LORENZI|Biathlon|Italy|Male|18 February 1981|32|1.73|65|Italy, SONDALO|-|Delo |Fabrizio Curtaz [national] |Right ||Vancouver 2010, Torino 2006|Serves in the Army|||||Computer games, watching movies, fantasy football and hanging out with his wife and friends. |||
Virginia DE MARTIN TOPRANIN|Cross-Country|Italy|Female|20 August 1987|26|1.64|54|-|-|Ginny |Marco Selle [national] ||||Athlete, Student||||English, Italian|Horse riding, travelling, playing the guitar. |||
Mette DE NEERGAARD|Curling|Denmark|Female|6 November 1991|22|1.64|-|Denmark, KOEBENHAVN|-||Gert Larsen ||||Athlete, Student||Alternate ||Danish, English||||
Rianne DE VRIES|Short Track|Netherlands|Female|14 December 1990|23|1.68|57|Netherlands, HEERENVEEN|-||Jeroen Otter ||||Athlete, Student||||Dutch||||
Ilaria DEBERTOLIS|Cross-Country|Italy|Female|17 September 1989|24|1.70|57|-|-||Alfred Stauder [national] ||||Athlete, Police Officer||||Italian|Shopping, listening to music, supporting Italian football team Juventus. |||
Brianna DECKER|Ice Hockey|United States|Female|13 May 1991|22|1.60|68|United States, DOUSMAN|-||||||||||||||
Lamin DEEN|Bobsleigh|Great Britain|Male|17 June 1981|32|1.81|100|Great Britain, LONDON|-||Michael Khmel, RUS; Keith Morgan; Dominik Scherrer [national], SUI ||He broke his collarbone after he crashed and flipped his bobsleigh at 95mph in Winterberg, Germany. ||Serves in the Army||Pilot ||English|Basketball, boxing, football, Formula One, table tennis. |||
Didier DEFAGO|Alpine Skiing|Switzerland|Male|2 October 1977|36|1.83|88|Switzerland, TROISTORRENTS|-|Def |Walter Hlebayna [national] ||In September 2010 he suffered ruptured knee ligaments during preseason training and did not ski for seven months. He missed the entire 2010/11season. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete, Architect||||English, French, German|Fishing and golf. |||
Alex DEIBOLD|Snowboard|United States|Male|8 May 1986|27|1.85|86|United States, NEW HAVEN|-|Diabolical |Jeff Archibald [national] ||In early March 2013 he separated his shoulder, and underwent surgery on 12 March. He said the injury was a "Type five Acromio-Clavicular separation. Season is over. Glad to be walking on my own two feet." ||Athlete|Stratton Mountain School, United States|Regular ||English, Italian|Surfing, biking, rock climbing, rafting, playing golf. |||
Michelle DEKKER|Snowboard|Netherlands|Female|18 March 1996|17|1.65|66|Netherlands, ZOETERMEER|-||Pepijn van Schendel [national] ||||Athlete, Student|Alpine Snowboardteam Snowpepper, Netherlands|Goofy ||Dutch, English||||
Christopher DELBOSCO|Freestyle Skiing|Canada|Male|30 March 1982|31|1.85|96|United States, COLORADO SPRINGS|-|Del, Del Fiasco, Bosco, Enforcer |Eric Archer [national] ||He crashed while training in Nakiska, AB, Canada in November 2012. He separated his shoulder and required surgery, which sidelined him for four months. |Vancouver 2010|Athlete|||||Mountain biking. |||
Nicole DELLA MONICA|Figure Skating|Italy|Female|3 June 1989|24|1.56|-|Italy, TRESCORE BALNEARIO|-||Oleg Vasiliev ||She suffered an inflamed knee at the beginning of 2011. |Vancouver 2010|Athlete, Student|Forum SSDRL Assago, Milan, ITA|||English, French, Italian|Movies, music. |||
Roberto DELLASEGA|Ski Jumping|Italy|Male|15 June 1990|23|1.83|72|Italy, Cavalese|-|Rox |Jakub Jiroutek [national]; Walter Cogoli [national] |||Vancouver 2010|Athlete, Police Officer|GS Fiamme Gialle, Italy|||English, Italian||||
Albert DEMCHENKO|Luge|Russian Fed.|Male|27 November 1971|42|1.85|95|-|Russian Fed., DMITROV||Alexander Vasin [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998, Lillehammer 1994, Albertville 1992||CSKA Irkutsk and Dmitrov , Russia|||Russian||||
Bill DEMONG|Nordic Combined|United States|Male|29 March 1980|33|1.78|66|United States, SARANAC LAKE|-|Billy |Dave Jarrett [national] ||He was diagnosed with whooping cough in December 2012. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete||||English, Norwegian|Cycling, fishing, mountain biking, hunting, Telemark skiing. |||
Dominic DEMSCHAR|Alpine Skiing|Australia|Male|19 May 1993|20|1.76|75|Germany, OBERNDORF|-||||||||||||||
Patrick DENEEN|Freestyle Skiing|United States|Male|25 December 1987|26|1.70|82|United States, REDMOND|-|The Rocket |Scott Rawles [national] ||A case of patellar tendinitis in his left knee worsened to the point he sat out most of the 2005 season. |Vancouver 2010|Athlete||||English|Riding horses, fly fishing, riding snowmobiles. |||
Wilhelm DENIFL|Nordic Combined|Austria|Male|10 November 1980|33|1.78|69|Austria, RUM|-|Willi |||He broke his lower left leg in Seefeld, Austria in December 2004. While able to cross-country ski, his doctors only gave him permission to start jumping again in July 2005. One of his doctors said he was lucky the injury did not end his career as the flexibility of his ankle joint generally would not allow an athlete to return to ski jumping. ||Serves in the Army||||English, German|Cycling, motorbike riding, diving, tennis, golf. |||
Alexander DENISYEV|Luge|Russian Fed.|Male|29 July 1991|22|1.89|100|-|Russian Fed., KRASNOYARSK|Sasha |Zhanna Zheman, RUS; Alexander Osipenko, RUS; Walter Plaikner [national], ITA, from 2013 ||||Athlete|Academy of Winter Sports, Krasnoyarsk, RUS|||Russian|Sports, reading, computer games. |||
Yelena DERGACHYOVA|Ice Hockey|Russian Fed.|Female|8 November 1995|18|1.59|57|Russian Fed., MOSCOW|Russian Fed., MOSCOW||||||||||||||
Isabel DERUNGS|Snowboard|Switzerland|Female|17 July 1987|26|1.70|58|Switzerland, SURAUA GR|-||Franco Giovanoli ||||Athlete, Student||Regular ||German|Playing football for FC Blue Stars in Switzerland. |||
Andriy DERYZEMLYA|Biathlon|Ukraine|Male|18 August 1977|36|1.88|80|Ukraine, SUMY REGION|-||Mykola Zots, Konstantin Vaigin |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|||||English, Ukrainian|Music, reading. |||
Gregor DESCHWANDEN|Ski Jumping|Switzerland|Male|27 February 1991|22|1.85|65|Switzerland, KERNS OW|-||Pipo Schodler |||||Skiclub Horw, Switzerland||||Meeting friends. |||
Simon DESTHIEUX|Biathlon|France|Male|3 December 1991|22|1.76|69|France, BELLEY|-||Stephane Bouthiaux [national]; Siegfried Mazet [shooting] ||||Athlete, Serves in the Army||||English, French|Sport, woodwork. |||
Stanislav DETKOV|Snowboard|Russian Fed.|Male|16 September 1980|33|1.65|72|-|-|Stas, Ded [a slang word for grandfather]. |Denis Tikhomirov [national] ||An illness prevented him from training during the off-season in 2012. |Vancouver 2010|||||Russian|Skiing, football, surfing. |||
Jonas DEVOUASSOUX|Freestyle Skiing|France|Male|23 October 1989|24|1.80|87|France, CHAMONIX MT BLANC|France, Argentiere|Jon [pronounced 'Yonn']. |Michel Lucatelli [national] ||||||||English, French||||
Giorgio DI CENTA|Cross-Country|Italy|Male|7 October 1972|41|1.75|68|-|-||Paolo Riva [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Police Officer||||Italian|Being in touch with nature, cycling and walking in the mountains, working on agricultural machinery. |||
Gary DI SILVESTRI|Cross-Country|Dominica|Male|3 February 1967|47|1.83|82|-|-||||||||||||||
Camille DIAS|Alpine Skiing|Portugal|Female|28 August 1996|17|1.65|55|Switzerland|-||||||||||||||
Adria DIAZ|Figure Skating|Spain|Male|17 September 1990|23|1.72|-|Spain, BARCELONA|-|Adrian, Adri |Marie-France Dubreuil; Patrice Lauzon, CAN ||||Student|CP Gadbois, Montreal, QC, CAN||||Music, theatre, spending time with friends. |||
Raphael DIAZ|Ice Hockey|Switzerland|Male|9 January 1986|28|1.81|88|-|-||||||||||||||
Nadiya DIDENKO|Freestyle Skiing|Ukraine|Female|7 March 1986|27|1.68|65|Ukraine, IVANO-FRANKIVSK|-||Yuri Kobelnik, Yuliya Fominyh [national] |||Vancouver 2010, Torino 2006|||||English, Russian, Ukrainian|Studying foreign languages, listening to music. |||
Thomas DIETHART|Ski Jumping|Austria|Male|25 February 1992|21|1.72|60|Austria, TULLN|-|Didl |Alexander Pointner [national] |||||UVB Hinzenbach-Oberoesterreich, Austria|||English, German|Gymnastics, skiing, cycling, climbing. |||
Jessica DIGGINS|Cross-Country|United States|Female|26 August 1991|22|1.63|58|-|-||Dave Jarrett [national] ||In September 2013 she injured her foot while running at a training camp in Lake Placid, NY, United States. ||Athlete||||English|Hiking, camping, running, swimming, dancing , reading, playing the guitar. |||
Alessia Afi DIPOL|Alpine Skiing|Togo|Female|1 August 1995|18|1.68|58|Italy, PIEVE DI CADORE|-||||||||||||||
Marvin DIXON|Bobsleigh|-|Male|9 September 1983|30|1.75|93|-|-||||||||||||||
Shane DOBBIN|Speed Skating|New Zealand|Male|22 January 1980|34|1.83|72|New Zealand, PALMERSTON NORTH|-||Roy Dobbin [national] |||Vancouver 2010|Athlete||||English|Sport, reading, browsing the internet. |||
Sean DOHERTY|Biathlon|United States|Male|8 June 1995|18|1.80|75|United States, NORTH CONWAY|-||Per Nilsson [national] ||||||||||||
Peter DOKL|Biathlon|Slovenia|Male|11 January 1985|29|1.78|70|Slovenia, LJUBLJANA|-||Uros Velepec [national], Tomas Vos [shooting] ||In 2008 he and teammate Klemen Bauer collided with a truck while mountain biking. Despite suffering no major injuries, he was forced to miss the 2008 World Championships. |Vancouver 2010|Athlete||||English, Slovene|Computers. |||
Sergei DOLIDOVICH|Cross-Country|Belarus|Male|18 May 1973|40|1.78|74|-|-|||||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998, Lillehammer 1994|Athlete||||Russian|Going on holiday, spending time with family and friends. |||
Darya DOMRACHEVA|Biathlon|Belarus|Female|3 August 1986|27|1.68|56|Belarus, MINSK|-|Dasha |Nikolay Zaharov, Adrian Tsybulsky [national] ||She suffered serious food poisoning ahead of the 2007/08 season, and missed a vital part of pre-season as a result which affected her results. |Vancouver 2010|Athlete, Coach||||English, Russian|Dancing, listening to music, snowboarding, travelling. |||
Fritz DOPFER|Alpine Skiing|Germany|Male|24 August 1987|26|1.88|85|Austria, INNSBRUCK|-||Markus Anwander ||||Athlete, Customs Officer||||||||
Justin DOREY|Freestyle Skiing|Canada|Male|17 August 1988|25|1.80|80|Canada, CALGARY|Canada, Vernon, B.C.|Bone, J-Bone |Trennon Paynter; Marc McDonell ||He damaged ligaments in his left shoulder during the 2012/13 season. ||Athlete||||English|Any physical activity, spending time outdoors, playing the guitar, music. |||
Marie DORIN HABERT|Biathlon|France|Female|19 June 1986|27|1.68|56|France, LYON|-|Riri, Popins |Jean Paul Giachino, Thierry Dusserre |||Vancouver 2010|Athlete, Customs Officer, Student||||English, French|Music, climbing, windsurfing, hiking, mountain biking, horse riding, playing piano, reading, drawing, being outdoors in nature. |||
Anastasia DOTSENKO|Cross-Country|Russian Fed.|Female|14 October 1986|27|1.70|60|-|Russian Fed.||Anatoly Romanov ||||||||||||
Tommaso DOTTI|Short Track|Italy|Male|11 July 1993|20|1.87|79|Italy, MILANO|-||Kenan Gouadec [national], CAN; Eric Bedard [national], CAN ||He suffered a cut on his ankle after a fall in November 2013. ||Athlete||||English, Italian||||
Hannes DOTZLER|Cross-Country|Germany|Male|25 February 1990|23|1.76|70|-|-|Dotzi |Stefan Dotzler [father], Cuno Schreyl [national] ||In November 2011 he broke his fibula and tore his syndesmosis [lower leg ligament] during a game of football. He returned to competition in January 2012. ||Police Officer||||English, French, German|Going to the cinema, internet, sports in general. |||
Drew DOUGHTY|Ice Hockey|Canada|Male|8 December 1989|24|1.85|94|Canada, LONDON|-||||||||||||||
Hanno DOUSCHAN|Snowboard|Austria|Male|5 September 1989|24|1.71|75|Austria, KLAGENFURT|-||Gerald Kerschhackl; Tom Greil [national], AUT ||He has ruptured ligaments in both his ankles and dislocated his right shoulder over the course of his career. ||Athlete|Snowboard UNION Gigasport, Austria|Regular |||Cycling, free boarding, beach volleyball. |||
Daumants DREISKENS|Bobsleigh|Latvia|Male|28 March 1984|29|1.93|108|Latvia, GULBENE|-|Spark |Sandis Prusis |||Vancouver 2010, Torino 2006|Athlete||Push athlete ||Latvian|Playing basketball and golf. |||
Hannah DREISSIGACKER|Biathlon|United States|Female|2 December 1986|27|1.70|59|United States, MORRISVILLE|-||Jonne Kahkonen [national] |Right |||Athlete||||English|Painting, cooking, gardening, mountain biking, graphic design, playing musical instruments. |||
Annalisa DREW|Freestyle Skiing|United States|Female|28 May 1993|20|1.63|54|United States, LAWRENCE|-|Anna |Elana Chase [club] ||She has broken a thumb and suffered several concussions through skiing. ||Athlete|||||Taking online classes, soccer, lacrosse, hockey. |||
Marie-Eve DROLET|Short Track|Canada|Female|3 February 1982|32|1.67|60|Canada, CHICOUTIMI|-||Frederic Blackburn ||She injured her back in a crash in August 2013. |Salt Lake City 2002|Athlete|The Comets, Chicoutimi, QC, CAN|||English, French|Sailing, juggling, snowshoeing, fishing, hiking, camping. |||
Petr DRON|Curling|Russian Fed.|Male|28 August 1985|28|1.97|-|-|Russian Fed., ST. PETERSBURG||Konstantin Zadvornov [club], RUS; Alexey Tselousov [club], RUS; Vasily Gudin [national], RUS; Rodger Schmidt [national], SUI ||||Athlete||Lead ||English, German, Russian|Travelling, billiards, chess. |||
Andrey DROZDOV|Curling|Russian Fed.|Male|23 February 1988|25|1.81|-|-|Russian Fed., ZELENOGRAD||Vasily Gudin [national], RUS; Rodger Schmidt [national], SUI ||||||Skip ||Russian||||
Greg DRUMMOND|Curling|Great Britain|Male|3 February 1989|25|1.71|-|Great Britain, DUNDEE|-||Soren Gran [national] ||||Athlete|Fothringham Curling Club, Forfar, GBR|Third ||English|Supporting football teams Rangers [Scotland] and Chelsea [England]. |||
Sebastian DRUSZKIEWICZ|Speed Skating|Poland|Male|14 June 1986|27|1.78|71|Poland, ZAKOPANE|-||||||||||||||
Nastassia DUBAREZAVA|Biathlon|Belarus|Female|14 March 1985|28|1.70|63|Belarus, VITEBSK REGION|-||Klaus Siebert [national] |||Vancouver 2010|Athlete||||English, Russian||||
Martina DUBOVSKA|Alpine Skiing|Czech Republic|Female|27 February 1992|21|1.74|72|Czech Republic, TRINEC|-||Jan Dubovsky [father] ||Her 2012/13 season was interrupted by back problems. ||Athlete||||Czech, Slovak||||
Matt DUCHENE|Ice Hockey|Canada|Male|16 January 1991|23|1.80|91|Canada, PETERBOROUGH|-||||||||||||||
Alexandra DUCKWORTH|Snowboard|Canada|Female|11 November 1987|26|1.58|50|Canada, OTTAWA|Canada, Kingsburg, NS|Alex, AJ, Ducky, Goose |Leo Addington [national] ||In February 2012 she broke her big toe and damaged tissue in her foot after crashing during a slopestyle event. The injury required surgery. ||Athlete|Ski Martock, Windsor, ON, CAN|Regular ||English|Fishing, sailing, cooking, dancing, karaoke, pool parties, yoga, playing the ukulele. |||
Alyson DUDEK|Short Track|United States|Female|30 July 1990|23|1.68|58|United States, MILWAUKEE|-|Aly |Steve Gough, Guy Thibault ||She dislocated her left shoulder in October 2010 after crashing into the boards during a World Cup event in Canada. She continued to race and the shoulder came out of its socket two more times. She then underwent surgery and required eight weeks of therapy at Froedtert Hospital in Wauwatosa, WI, United States. |Vancouver 2010|Athlete, Student||||English|Cooking, movies, reading, writing, spending time with her family. |||
Johannes DUERR|Cross-Country|Austria|Male|12 March 1987|26|1.77|63|-|-|Joe |Gerard Heigl [national] ||In 2013 he broke two ribs during summer training. ||Serves in the Army||||English, German|Sports, reading, computer games. |||
Sylvain DUFOUR|Snowboard|France|Male|19 November 1982|31|1.78|82|France, SAINT DIE|France, La Vancelle|Popeye [a nickname given to him by his friends]. |||In mid-2007 he had a leg injury and was unable to ski for three months. |Vancouver 2010||Ski Club Sainte-Marie-aux-Mines, France|Goofy ||English|Playing golf, motorbike riding and mountain biking. |||
Chloe DUFOUR-LAPOINTE|Freestyle Skiing|Canada|Female|2 December 1991|22|1.65|61|Canada, MONTREAL|Canada, Montreal, Que|Max |Jean-Paul Richard, Marc-Andre Moreau, Paul Gagne, Steve Omischl ||She had a hip injury early in the 2011 season. |Vancouver 2010|Athlete, Student||||English, French|Surfing, horseback riding, sailing, drawing. |||
Justine DUFOUR-LAPOINTE|Freestyle Skiing|Canada|Female|25 March 1994|19|1.64|54|Canada, MONTREAL|Canada, Montreal, Que|Djoue |Jean-Paul Richard, CAN, from 2010; Marc-Andre Moreau [national], CAN, from 2010 ||||Athlete, Student||||English, French|Photography, shopping, BMX, dance, interior design, fashion. |||
Maxime DUFOUR-LAPOINTE|Freestyle Skiing|Canada|Female|9 February 1989|24|1.65|63|Canada, MONTREAL|Canada, Montreal, Que|Max |Jean-Paul Richard [personal] ||||Athlete||||English, French|Drawing, horse riding, sailing, surfing. |||
Meghan DUGGAN|Ice Hockey|United States|Female|3 September 1987|26|1.78|75|United States, BEVERLY|-||||||||||||||
Meagan DUHAMEL|Figure Skating|Canada|Female|8 December 1985|28|1.48|-|Canada, LIVELY|-||||||||||||||
Julia DUJMOVITS|Snowboard|Austria|Female|12 June 1987|26|1.68|60|Austria, GUSSING|-||Tom Weninger [national], Bernd Krug [national], Manuel Kruselburger [national], Peter Eichberger [personal] ||She broke her left ankle and injured her knee in a slalom training crash in Stubaital, Austria, in November 2008. She required surgery for the injuries. ||Athlete, Serves in the Army|Red Hot Chilli Gussing, Austria||||Snowboarding, surfing, travelling, studying. |||
Martins DUKURS|Skeleton|Latvia|Male|31 March 1984|29|1.78|75|Latvia, RIGA|-||Dainis Dukurs [father] |||Vancouver 2010, Torino 2006|Athlete, Labourer||||English, Latvian|Ice hockey. |||
Tomass DUKURS|Skeleton|Latvia|Male|2 July 1981|32|1.86|86|Latvia, RIGA|-||Dainis Dukurs [father], LAT; Mihaila Arhipova [national] |||Vancouver 2010, Salt Lake City 2002|Athlete||||English, Latvian|Hockey, going to the cinema. |||
Dmitri DUN|Figure Skating|Ukraine|Male|7 November 1989|24|1.83|-|Ukraine, KHARKIV|-||Galit Chait Moracci, ISR; Aleksandr Gorshkov, RUS; Igor Shpilband, RUS ||||Athlete|Lider Kiev, Ukraine||||Cats, skiing, kayaking. |||
David DUNCAN|Freestyle Skiing|Canada|Male|15 July 1982|31|1.83|93|Canada, LONDON|-|Dunc |Eric Archer [national] ||He broke his collarbone during training at the 2010 Olympic Winter Games in Vancouver, forcing him to withdraw from the event. He made his competitive comeback in Chapelco, Argentina, in September 2010. ||Athlete|||||Cycling, going to the gym, spending time outdoors. |||
Susan DUNKLEE|Biathlon|United States|Female|13 February 1986|27|1.70|63|United States, NEWPORT|-||Jonne Kahkonen [national] ||In September 2012 she revealed she had been troubled y a chronic knee injury. The injury had prevented her from intense running in training. ||Athlete||||English|Hiking, camping, gardening. |||
William DUTTON|Speed Skating|Canada|Male|28 November 1989|24|1.83|85|Canada, REGINA|-||Mike Crowe, USA, from 2010/11; Peter Mueller, from 2009 ||In November 2013 he fell and cut the quad muscle in his leg, requiring 12 stitches. ||Athlete||||English|Snowboarding, river rafting, mountain and road biking, skateboarding, fishing. |||
Robin DUVILLARD|Cross-Country|France|Male|22 December 1983|30|1.78|71|-|-|Rachid |Christophe Deloche ||In July 2013 he was forced to miss 12 days of practise after sustaining two muscle tears in his right thigh. |Vancouver 2010|Army||||English, French|Skiing, eating pizza, bowling, golf, poker. |||
Dominik DVORAK|Bobsleigh|Czech Republic|Male|9 June 1992|21|1.92|95|Czech Republic, PRAHA|-|DK |Milan Sejkora [national] ||||Athlete||Brakeperson ||Czech|Mountain biking, skiing, squash. |||
Miroslav DVORAK|Nordic Combined|Czech Republic|Male|3 March 1987|26|1.80|66|Czech Republic, LIBEREC|-|Emir |Sablatura Ludek [national] |||Vancouver 2010|Athlete, Coach||||Czech|Mountain biking, listening to music, playing football. |||
Inna DYUBANOK|Ice Hockey|Russian Fed.|Female|20 February 1990|23|1.70|74|-|Russian Fed., MOZHAYSK||||||||||||||
Juliya DZHYMA|Biathlon|Ukraine|Female|19 September 1990|23|1.66|66|Ukraine, KYIV|-||Alexander Kravchenko ||||Athlete, Student||||Russian, Ukrainian|Painting, music. |||
Julian EBERHARD|Biathlon|Austria|Male|9 November 1986|27|1.96|84|Austria, SAALFELDEN|-|Juli, Giulio |Remo Krug [national] ||||||||English, German|Spending time in nature, philosophy. |||
Tiril ECKHOFF|Biathlon|Norway|Female|21 May 1990|23|-|-|Norway, BAERUM|-||Egil Gjelland [national] ||||Athlete, Student||||English, Norwegian|Telemark skiing, talking, knitting, sewing. |||
Tino EDELMANN|Nordic Combined|Germany|Male|13 April 1985|28|1.85|72|Germany, ANNABERG-BUCHHOLZ|-|Ferris |||He missed two months of skiing in 2008 because of a broken foot. |Vancouver 2010|Serves in the Army||||English, German|Surfing. |||
Markus EDER|Freestyle Skiing|Italy|Male|30 November 1990|23|1.85|83|Italy, BRUNICO|-|Makke |||He sustained a back injury at age 22, which kept him out of action for several months. ||Athlete||||Italian|Spending time with his friends, skateboarding, trampolining, basketball. |||
Simon EDER|Biathlon|Austria|Male|23 February 1983|30|1.86|79|Austria, ZELL AM SEE|-|Sam |Alfred Eder [father], Walter Horl |||Vancouver 2010|Athlete, Serves in the Army||||English, German, Italian|Sports in general, cycling. |||
Niklas EDIN|Curling|Sweden|Male|6 July 1985|28|1.71|-|Sweden, SIDENSJO ORNSKOLDSVIK|-||Jonas Asplund [fitness]; Eva Lund [national] ||He underwent back surgery in 2010 to repair damage caused by multiple herniated discs. He then had a further operation when the injury recurred shortly before the 2012 World Championships in Basel, Switzerland. He was able to compete at the event, but had to share skip duties with teammate Sebastian Kraupp. |Vancouver 2010|Athlete|Karlstad CK, Sweden|Skip ||English, Swedish|Sport, watching films, training. |||
Alexander EDLER|Ice Hockey|Sweden|Male|21 April 1986|27|1.91|98|Sweden, OSTERSUND|-||||||||||||||
Polina EDMUNDS|Figure Skating|United States|Female|18 May 1998|15|1.65|-|United States, SANTA CLARA|-||David Glynn; Nina Edmunds [mother], RUS; Frank Carroll, USA, from 2013 ||||Athlete, Student|Peninsula Skating Club, San Jose, CA, USA|||English|Dancing, making movies, cooking. |||
Samuel EDNEY|Luge|-|Male|29 June 1984|29|1.88|95|-|-|Sam |Wolfgang Staudinger [national] |||Vancouver 2010, Torino 2006|Athlete, Student||||English|Mountain biking, road cycling, golf, skiing. |||
Juerg EGGER|Bobsleigh|Switzerland|Male|1 January 1982|32|1.78|98|Switzerland, FARNERN BE|-|Miggu, Don Miguele |||He sustained a concussion after crashing at the 2010 Olympic Winter Games in Vancouver and temporarily lost the feeling in his arms and legs. After three days he began regaining the sensation in his limbs and made a full recovery following therapy. ||Athlete||Push athlete ||German|Motorcycles, listening to music, sports. |||
Reinhard EGGER|Luge|-|Male|11 September 1989|24|1.91|96|-|-||Rene Friedl [national] ||||Athlete, Serves in the Army|SV Langkampfen, Austria|||German|Climbing, swimming, mountain biking, riding a motorcycle. |||
Toni EGGERT|Luge|Germany|Male|12 May 1988|25|1.91|88|Germany, SUHL|-||Norbert Loch [national] ||||Athlete, Serves in the Army|RT Suhl/BRC Ilsenburg, Germany|Front ||English, German|Building model planes. |||
Romy EGGIMANN|Ice Hockey|Switzerland|Female|29 September 1995|18|1.57|54|Switzerland, SUMISWALD BE|-||||||||||||||
Lucas EGUIBAR|Snowboard|Spain|Male|9 February 1994|19|1.82|82|Spain, DONOSTIA - SAN SEBASTIAN|-|Luki |Israel Planas [national] ||In March 2012 he broke his right wrist in a fall. ||Athlete||||Basque, Spanish||||
Florian EIGLER|Freestyle Skiing|Germany|Male|12 May 1990|23|1.78|80|Germany, FUSSEN|-||||||Athlete||||German||||
Sebastian EISENLAUER|Cross-Country|Germany|Male|13 March 1990|23|1.81|72|-|-|Sebi |||||Serves in the Army|||||Football, tennis, volleyball. |||
Tanja EISENSCHMID|Ice Hockey|Germany|Female|20 April 1993|20|1.70|63|Germany, MARKTOBERDORF|-||||||||||||||
John EKLUND|Freestyle Skiing|Sweden|Male|21 September 1993|20|1.80|76|Sweden, VANNAS|-||Tommy Eliasson Winter [national] ||||Athlete|AK Vannas, Sweden|||Swedish|Whitewater rafting, football, surfing. |||
Oliver EKMAN-LARSSON|Ice Hockey|Sweden|Male|17 July 1991|22|1.88|86|-|-||||||||||||||
Jon ELEY|Short Track|Great Britain|Male|19 August 1984|29|1.86|79|Great Britain, SOLIHULL|-|Jon Boy |Nicky Gooch [national], GBR, from 2006; Lee Seung-Jae [national], KOR ||He has previously broken his collarbone. |Vancouver 2010, Torino 2006|Athlete||||English|Golf, cricket, watching television. |||
Patrik ELIAS|Ice Hockey|Czech Republic|Male|13 April 1976|37|1.85|88|Czech Republic, TREBIC|-||||||||||||||
Emma ELIASSON|Ice Hockey|Sweden|Female|12 June 1989|24|1.67|68|Sweden, KARESUANDO|-||||||||||||||
Semen ELISTRATOV|Short Track|Russian Fed.|Male|3 May 1990|23|1.75|70|-|Russian Fed., UFA||Andrey Maximov, RUS, from 2000; Sebastien Cros [national], FRA, from 2012 ||At age 12, he missed two months of training after breaking his leg in a fall during competition. |Vancouver 2010|Athlete, Student||||Russian|Reading, cars, spending time with his family and girlfriend. |||
Jeanne ELLEGAARD|Curling|Denmark|Female|2 July 1987|26|1.72|-|Denmark, STEVNS|-||Gert Larsen ||||Athlete||Second ||Danish, English|Playing other sports. |||
Sho ENDO|Freestyle Skiing|Japan|Male|4 July 1990|23|1.78|70|Japan, INAWASHIROMACHI, FUKUSHIMA|Japan, Inawashiro Fukushima|||||Vancouver 2010|||||Japanese|Cycling, fishing. |||
Hilde-Katrine ENGELI|Snowboard|Norway|Female|4 August 1988|25|-|-|Norway, LILLEHAMMER|-|HK |||She sustained a hip injury that stopped her competing in November and December 2011. ||Athlete|Dombas IL, Norway|||English, Norwegian|Cross-country skiing, music |||
Gyda ENGER|Ski Jumping|Norway|Female|14 January 1993|21|1.65|-|-|-||||||||||||||
Sofia ENGSTROM|Ice Hockey|Sweden|Female|3 July 1988|25|1.63|63|Sweden, SURA|-||||||||||||||
Merika ENNE|Snowboard|Finland|Female|24 June 1992|21|1.69|62|Finland, TAMPERE|-||Simo Suopanki [national] ||She has had two operations on her left knee during her career. She has also had two concussions and multiple fractures. ||Athlete, Student||Regular ||English, Finnish|Golf. |||
Jhonas ENROTH|Ice Hockey|Sweden|Male|25 June 1988|25|1.80|75|Sweden, VANTOR, STOCKHOLM|-||||||||||||||
Karolina ERBANOVA|Speed Skating|Czech Republic|Female|27 October 1992|21|1.76|70|Czech Republic, VRCHLABI|-||Petr Novak [national] |||Vancouver 2010|Athlete, Student||||Czech, English|Sports, spending time with friends, computers. |||
Jimmie ERICSSON|Ice Hockey|Sweden|Male|22 February 1980|33|1.87|94|Sweden, S:T OLOF|-||||||||||||||
Jonathan ERICSSON|Ice Hockey|Sweden|Male|2 March 1984|29|1.95|102|Sweden, KARLSKRON.S|-||||||||||||||
Hanna ERIKSON|Cross-Country|Sweden|Female|2 June 1990|23|1.65|65|-|-||||She missed most of the 2012/13 season due to illness. She returned in March 2013. ||||||Swedish||||
Christofer ERIKSSON|Biathlon|Sweden|Male|17 February 1989|24|1.93|84|Sweden, ILSBO|-||Johan Hagstrom [national] |Right |||Athlete, Student||||Swedish|Shooting, skiing, fishing, hunting. |||
Loui ERIKSSON|Ice Hockey|Sweden|Male|17 July 1985|28|1.88|89|Sweden, HEMSJO|-||||||||||||||
Oskar ERIKSSON|Curling|Sweden|Male|29 May 1991|22|1.77|-|Sweden, NORRSTRAND KARLSTAD|-||Peja Lindholm [national] |||Vancouver 2010|Athlete|Lit CC, Sweden|Skip ||English, Swedish|Disc golf, football. |||
